web-scraper-order,web-scraper-start-url,Date,Tourist_Home_Location,Scrape_Tagline,Scrape_Review_Text
"1733318143-167","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or780-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 13 August 2015","Chandigarh, India","The oldest charm of Shimla","The old charm is still there. going their from childhood and never gets tired...you have to be there to feel it."
"1733318143-168","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or780-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 10 August 2015","5 contributions","Place was nice.....","The place is so good but try to avoid to come here in rainy season....although it was a good experience"
"1733318143-169","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or780-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 8 August 2015","New Delhi, India","All time favourite","You always enjoy the view from ridge irrespective of the no of times you visit it. Just love to stand there while sipping hot coffee..."
"1733318151-170","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or770-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 10 September 2015","Hyderabad, India","Connecting Mall Road and Lakkar Bazaar","The big open space offers spectacular views in the evening and neatly maintained open space gives you ample amount of time to sit back, relax, breathe and soak in the moment. The structures around provide an insight into the beautiful history."
"1733318151-171","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or770-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 8 September 2015","Chandigarh, India","Must visit","This place is awesome. I visited it at day time still there was no sign of hot air. It is center place of Shimla"
"1733318151-172","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or770-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 4 September 2015","Chandigarh, India","The Ridge Mall Road Roaming","The must see place in Shimla , awesome weather, awesome environment, open space for roaming for couples, families, single's group and kids."
"1733318151-173","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or770-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 3 September 2015","New Delhi, India","AWESOME","Rocking experience on Ridge. A nature lover can spend his/her whole life here. Excellent outlets n Yummy food. From shopping to fiddling around. Everything about Ridge is Awesome. D best attraction of Shimla."
"1733318151-174","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or770-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 3 September 2015","Calcutta, West Bengal, India","Romance in air","It is one of the most romantic place I have visited. The cold breeze, the coffee shops, the stoned buildings... holding the hand of your loved one's and sipping the hot coffee is just Awesome.."
"1733318151-175","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or770-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 2 September 2015","10 contributions","Superb view point if shimla","Nice... open place at the top of Shimla... sit a side and eat ice cream... enjoy horse riding, photo click with himachali and kashmiri traditional dress..."
"1733318151-176","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or770-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 27 August 2015","Gurugram (Gurgaon), India","Awesome !!!!!!!","The Best Place to be in Shimla ! What a view and what wonderful place. The place is the most happening place in Shimla and the best part is even though so crowded no pollution and so clean !"
"1733318151-177","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or770-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 27 August 2015","Jeddah, Saudi Arabia","Shimla Family Trip","Its an excelnt place to enjoy with your kids riding the horses and getting some frozen ice creem. and at night enoying the guthering of people around the waterfalles which has a romaintic flashing color lights.Also it has around the lower and upper mall shopping area and resturnts which make the place so special."
"1733318151-178","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or770-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 26 August 2015","Mumbai, India","mall road","Great experience at the Mall road with loads of shopping to do. you can pick and choose between good eateries as well"
"1733318151-179","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or770-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 26 August 2015","Navi Mumbai, India","Ridge on mall road Shimla","A tourist place and a fun place for locals to...well dressed locals, specially school kids in they uniforms passing by...mountain view from both sides and local shopping available on the ridgge with a old church and Government offices , Post offices, etc worth a trip if you are at Shimla."
"1733318159-180","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or760-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 30 September 2015","Rajkot, India","GREAT TIME PASS","Super Place for Photography, You will get a nice open place every where with a wonderfull views surrondings. There are so many options of foods available surronding you,"
"1733318159-181","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or760-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 29 September 2015","London, UK","Most Beautiful part of Shimla trip...","Been informed my friends that The Ridge is place to see the Shimla city view n also best soft ice cream to enjoyed ...was great to be there....real good place n beautiful..."
"1733318159-182","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or760-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 29 September 2015","Chandigarh","nice play to visit at Mall","cool breeze.. street food... horse riding... nice stay .. memorable pics in front of church.. and memorable pics of shimla at this place."
"1733318159-183","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or760-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 25 September 2015","Lucknow, India","Ridge - Central attraction Shimla","When in Shimla, this is the first place where you should go. Wide road, people from all parts of India and outside roaming at this place doing various activities such as horse riding, kids playing balloons, valley on both sides...beautiful weather.  Awesome place."
"1733318159-184","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or760-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 24 September 2015","Imphal, India","Awesome place to spend time in the evening","Beautiful place to be in the evening, just watching the crowd and enjoying the weather. It was foggy when we arrived as thick as the clouds.. it was really awesome walk"
"1733318159-185","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or760-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 24 September 2015","Kolkata (Calcutta), India","Good Place to spend your time in evening and early morning","All I would say is that this is a very nice place to spend your idle time, where we can walk ride horse, eat Ice cream etc etc etc. The view is awesome as we can see Christ Church and just above that on the hill we can clearly see Jakhu Hanuman Idol. On the other end we can see the valley and"
"1733318159-186","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or760-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 20 September 2015","Mumbai, India","Pleasant Walk!","This is like an open walk area or city center at Simla. The Mall Road is a few steps from this place. The Christ Church, Culture Center is all around this place. Good walk during the early hours or at late hours of the day."
"1733318159-187","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or760-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 19 September 2015","Bengaluru, India","Must Visit if going to Shimla","This is the main attraction in Shimla, i have visited it many times but it looks great during snowfall. You will get to see great views from here and since it is located at the centre so all the site points are nearby."
"1733318159-188","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or760-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 16 September 2015","London, UK","A piece of heaven","I have been here many a times now! This place is a small piece of heaven on a fog covered winter morning. Walking through foggy morning and watching snow falling here is just amazing! Every season here has its own charm, on a clear sky evening the sun set view is great. Evening feel like a festival in this place. It is lined up with great food places and stalls and is full of monumental buildings. 

One can spend hours here just walking around, trying different food places, looking at amazing views about or just sit back and see sky changing hues!"
"1733318159-189","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or760-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 15 September 2015","Pune, India","Mall Road - Famous & must to see","Happening place to visit, during long weekend live entertainment programmes arranged by tourism office. Lots of shopping for ladies & you can enjoy the entire Shimla view from Sunset deck. lots of food variety, restaurants, branded shops..you can easily spend 2/3 hrs on Mall road."
"1733318169-190","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or750-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 13 October 2015","Bengaluru, India","Not a place to visit twice","Good Place to roam about. There are lot of shops present and Horse Riding facility there. Apart from there are some street vendors where you can buy toys for children and have snacks. I would say you visit this place in the evenings it will better and have nice views from here."
"1733318169-191","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or750-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 12 October 2015","New Delhi, India","Beautiful place to spend time","It is connected with the mall road. You can enjoy horse ride and click some most beautiful photographs here.

There is a staircase that leads to the Tibetan Market. But remember that this market is over priced.

There are some British time buildings which give a beautiful look to mall road and Ridge area."
"1733318169-192","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or750-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 11 October 2015","New Delhi, India","Good point","We have visited on 2nd October 2015. Nice place to pass your time and entertainment. Without visiting this point your shimla visit is incomplete."
"1733318169-193","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or750-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 9 October 2015","Chandigarh, India","Great View!","The ridge as aptly named has views of both side of the town. The only problem here is the horses and the filth that is left behind. Tourists come here not for the view but probably to ride and to eat and litter."
"1733318169-194","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or750-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 8 October 2015","Kolkata (Calcutta), India","Youthful and colorful vibes amidst of colonial landmarks","Situated at the heart of the city,the place is very good for taking mindless strolling , enjoying the view of nature and the city while sipping a hot coffee/tea.The Christ church  is situated at the corner of the ridge ground, adjacent to the library. Lakkar bazar and to the mall road are very easily accessible from this groud by a short walk. Other activities like horse riding is also popular in this area. It is full of all aged people, youth especially wearing colorful dresses . One of the places which is synonymous to Shimla city."
"1733318169-195","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or750-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 5 October 2015","Surat, India","excellent place","one of the best place of our country..it looks so difernt from other city, very crowded place but enjoy lot.."
"1733318169-196","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or750-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 5 October 2015","Tokyo, Japan","Mesmerizing","The Ridge has always been my favourite place and that too spending time towards the night is an amazing experience. Sitting near my favourite place at the open air theater near the Gufa Restaurant is so mesmerizing that I can spend hours sitting there. The accessibility factor is another thing which I like about Ridge. Take the public lift and then there are various vendors who will help you with prams and wheelchairs. They have different options as well. If you just want a drop they will charge INR 200-250 and for a one hour stroll through the market with you they charge INR 400. I took the service of a guy Pratap and he was decent enough to be with. Took me through the bylanes and then gave me a drop at Ridge. While returning I just gave him a call and he dropped me back. Ridge is a point where you can see people from various walks of life. Young, Old, Couples, Singles, Groups - It is such a delight to watch. Don't miss out eating a cone of softy and popcorns on the ridge in the chilling weather. It is such a delight to watch your kids enjoying a walk."
"1733318169-197","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or750-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 5 October 2015","Newbury, UK","A must in Shimla","Saw the parade here and got wonderful insight in to local culture. It is on a way-marked walking route that takes in many of the sights of Shimla but some times the signs can be a little misleading or non existent."
"1733318169-198","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or750-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 2 October 2015","Mumbai, India","Commercial (Ridge Forrester)","The bold and the beautiful are both here - a little too commercial for me but nonetheless a decent view of the weather is clement. At worst, you'll see 500 people and 10 horses and a church of North India standing tall against the ridge."
"1733318169-199","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or750-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 1 October 2015","Gurugram (Gurgaon), India","Can't miss it- its connectivity makes it hub to other landmarks","We visited in mid-June'2015. Shimla was receiving rain from pre-monsoon showers and climate was really enjoyable. The ridge is actually a flat top offering beautiful view of the valley and continues into mall road. The location itself is very photogenic and there are a lot of local photographers providing photos in traditional himachali costume, jewellery etc at reasonable prices. Many children enjoy horse riding there. Ridge is in close proximity to Mall road Church, General Post Office etc.- so basically people looking to visit popular landmarks and explore Shimla have to pass through ridge. Nice weather made our visit even more enjoyful."
"1733318177-200","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or740-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 27 October 2015","Ghaziabad, India","Nice for a walk","It has beautiful architecture nearby and nice place for a walk on sunny afternoon in winters. no vehicle and smoke free area , make it even better."
"1733318177-201","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or740-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 25 October 2015","The Hague, The Netherlands","crowded, touristic, but nothing really...","it is crowded, there are several thing for tourists there, picture ""opportunities"" and people selling stuff... but why?.. no clue really, a big disappointment for us and wr didn't stay longer than 5 minutes.."
"1733318177-202","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or740-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 24 October 2015","New Delhi, India","Good place for an evening stroll","The Ridge has a few places of interest like Christ Church, War memorial, a colourful market and a good view of the mountains. One can easily spend a day there looking at the attractions mentioned or just passing time in an entertaining way. Weather is usually cool and nice except for a few weeks in summer."
"1733318177-203","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or740-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 22 October 2015","North Goa District, India","RIDGE, MAIN ATTRACTION OF SHIMLA","Ridge is favorite place among all tourist in Shimla .Jakhu Hills can be visited from here.Nice to enjoy Shimla visit after  snowfall. Restaurants ,shops,tourist information centers are near to this place.Every tourist visiting Shimla devotes few hours everyday here.The place is beautifully maintained."
"1733318177-204","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or740-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 21 October 2015","Gurugram (Gurgaon), India","A lazy strol","The Ridge still remains a favorite haunt to simply strol around languidly; sit and look around;catch up with acquaitances; sip a cup of coffee or bite into hot corn...

The Ridge is a lazy indulgence to savor in Shimla.."
"1733318177-205","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or740-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 19 October 2015","New Delhi, India","Heart of shimla","Excellent place. ridge is heart of shimla. without visiting ridge specially at evening your shimla visit not completed. excellent mountain view from ridge."
"1733318177-206","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or740-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 19 October 2015","New Delhi, India","happening place","The most happening place in Shimla. Spend the evening here for true experience of the hills. The Mall road is connected to the Ridge and there are some good restaurants here too."
"1733318177-207","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or740-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 15 October 2015","Shimla, India","Famous Tourist spot in shimla","One of the Famous tourist spot in town, known for the christ church aged british time, connects you to The Mall road, Here you can enjoy with kids and family, kids can enjoy horse riding and other activities."
"1733318177-208","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or740-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 15 October 2015","5 contributions","Worth a visit","One should visit atleast one for view from ridge....you can definitely click few pics here and can spend some quality time before heading to Jakhu temple"
"1733318177-209","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or740-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 14 October 2015","Abu Dhabi, United Arab Emirates","Cool place for sit and relax","Cool place for sit and relax after a lot of walking on the mall, lakar bazar, lower bazar, must visit during day in sun light then only one can enjoy the beauty around..."
"1733318185-210","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or730-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 5 November 2015","Sydney, Australia","One of the best place to hang around with ur friends and family.","I really like this place. When ever i go to shimla, no matter for how many days i use to stay there in shimla, i love to go to The Ridge twice or thrice a day. This place makes me feel fresh and good. Very beautiful and scenic this place is. You can view whole city from there, in winters this place is very beautiful. I saw shimla covered in snow, fully white cover all over the city and its very good and fresh feeling. I love going there again n again. Must seen attraction in shimla."
"1733318185-211","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or730-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 4 November 2015","Bengaluru, India","Nice Architecture","The Mall road is well connected to the Ridge and from here one can get complete view of mall road.
One can spend half and hour here .
I would suggest instead of spending much time at ridge , better  explore different shops at mall road."
"1733318185-212","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or730-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 4 November 2015","Mumbai, India","Must See Place at Shimla.","Mere walking thru this historical & Heritage place is in itself an nice experience. Good photo up opportunities. Any time of the day is Ok but evenings are enjoyable."
"1733318185-213","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or730-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 2 November 2015","Shimla, India","Beauty and the Beast","If you are visiting shimla and not going to the Ridge,  it will be a waste of visiting.  The Chrisht Church is holy place to visit.  You will find the peace while going to the church.  Yummy strawberry icecream, Goofa Restaurant, Horse Riding, Photography in traditional dresses and calmness and simplicity of this place makes the trip awesome.

Love Shimla alot
I am a citigen of Shimla"
"1733318185-214","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or730-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 31 October 2015","Mumbai, India","Super view of snow mountains","This place is very spacious that touches the Mall. It is definitely one of the best tourist destination to go to. The mountain lovers will love this place more than anything. I loved the snow the most along with the mountains those were fully clothed with that snow."
"1733318185-215","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or730-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 31 October 2015","Mumbai, India","Marvelous view of snow-clad mountain","This place is the most  spacious open space that runs  along the Mall and i feel its i sthe best tourist destination to chill out.As the mountain lover i find this destination heaven.  The marvelous view of snow-clad mountain ranges spell binds you."
"1733318185-216","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or730-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 30 October 2015","Barcelona, Spain","A place where everyone goes","The Ridge becomes the identity of Shimla. Everyone who visit  Shimla wants to see this place and that's this place is always overcrowded."
"1733318185-217","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or730-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 28 October 2015","77 contributions","A popukar meeting point and activity centre","The Ridge is equivalent to the Mall in Darjeeling, a city centre attraction and meeting place where you can go and relax, have a great view of the mountains and shop whatever you like."
"1733318185-218","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or730-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 28 October 2015","Dubai, United Arab Emirates","the most open area of Shimla","this is highly open area if we compare with congested Shimla...kids can horse ride here...snacks & nice view"
"1733318185-219","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or730-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 27 October 2015","501 contributions","Very nice atmosphere. Many Indian tourists because cool climate.","Nice atmosphere. Like la passegiata in Italy. Children posing on horseback, balloons and sweets. Lots of macho Indian boys. At the end of the Mall. Very relaxing."
"1733318196-220","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or720-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 21 November 2015","Lucknow, India","Lively & happening","The ridge remains an all time favourite. It bustles with energy & is very lively. One can just sit there without doing anything & just soak in the vibrant atmosphere. The photographers can click you in local costumes. The Goofa restaurant offers a good view of the ridge if you happen to eat there. We even witnessed the shooting of a commercial. In general, one can sit there & relax. The mall road ends at the ridge & the Lakkar bazar starts from there."
"1733318196-221","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or720-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 19 November 2015","New Delhi, India","Must visit (and do visit during snowfall)","I visited this place twice during summers and during snow fall. During snowfall this place becomes heaven. I booked volvo bus and reached victory terminal. As soon as I reached shimla in morning 7 am the snow started to fall. It was magical, mesmerising can't be forgotten. After few minutes I felt it's too cold ( - 4 degree) and as I planned this visit in just 3hrs and just purchased ticket in night and reached shimla in morning I was not prepared for such cold weather. 

No shops were opened in morning but luckily I saw one tea shop. If you go from victory tunnel to the Ridge then it falls on left hand 200m away from tunnel I sipped tea then one more tea and with it two parathas it was awesome, the timing was best, we desperately needed something hot. 

After 7hr of snowfall during night the morning became the most beautiful, mesmerising, majestic, magical and the best morning ever seen. It was like I Entered Narnia everything became white. Unforgettable experience."
"1733318196-222","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or720-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 18 November 2015","Chandigarh, India","Nice place","I visited the Ridge on November 15, 2015. It was bright sunny day-and we got excellent photographs clicked here. The HPMC outlet here sells horrible quality stuff-one should avoid it."
"1733318196-223","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or720-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 17 November 2015","Ormskirk, UK","Great views and lots of space","Great on a Sunday afternoon with lots of local colour, characters and entertainment. Short horse rides available. Close to the mall. Includes Christ Church"
"1733318196-224","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or720-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 15 November 2015","Malaysia","Beautiful scenery","This is a place where they shoot ""3 idiots"" movie. It is a very nice and calm place. The scenery is outstanding. You can see the whole city of Shimla from here."
"1733318196-225","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or720-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 12 November 2015","Jaipur, India","no changes between 15 years","Ridge is still not changed ,I had gone thrice to shimla in year 1995 ,2000 and latest in year 2015 but still shock to see that the Ridge in same condition as same as previous years the difference is that when see from ground level  from ridge towards hill behind the church you will see tall hanuman ji statue but in 1995 it was not there,cleanliness   is just like foreign countries, no private vehicle is  allowed on ridge ,this is the best part of Ridge ,"
"1733318196-226","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or720-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 12 November 2015","Ahmedabad, India","The Ridge, One of the main attractions in Shimla","The Ridge, One of the main attractions in Shimla and offers variety of food, shopping and leisure options. Some local wooden and woolen items may be good and interesting."
"1733318196-227","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or720-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 10 November 2015","Navi Mumbai, India","Nice Place","One can seat and enjoy and have pleasant time. You can see lot of hustle and bustle by people and tourists."
"1733318196-228","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or720-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 6 November 2015","New Delhi, India","Great Views","A must to visit when in Shimla. The view from here shows whole of Shimla down. There is horse riding available."
"1733318196-229","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or720-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 5 November 2015","New Delhi, India","General place","A good place to hang out for photography and scenery. Can spend a couple of hours. Get clicked  in the traditional himachal dress here. That's a must do activity, serves as good souvenir"
"1733318204-230","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or710-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 2 December 2015","Jaipur, India","Shimla's most famous sight","The Ridge spans the walk-only street just above mall road in Shimla and is an absolute delight to walk around. The second oldest church in India, Christ Church is located at one end of The Ridge and has awe inspiring views. On the far side, fantastic evening lights across the hills can be seen. 
Tip: Explore 'The Ridge' in the absence of crowds at 6 'o clock in the morning. Magical experience."
"1733318204-231","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or710-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 30 November 2015","Daman, India","Popular point in Shimla","The Ridge is a popular hangout area adjacent to Mall road and Lakkar bazaar area. Has some restaurants and snack corners. Other popular activities include horse riding for children, photography etc."
"1733318204-232","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or710-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 30 November 2015","Faridabad, India","You can feel the fascinating history of British Raj at this point!!!","We visited this place in July, when rains wash the area clean.  Had a chance to be at this point during day as well as after sunset, which looked just awesome on both the occasions. 

You come across people from all walks of life, different countries, old, young, kids et al. We just strolled down the road, stopping for photo ops. One can spend hours on this stretch, in case the weather is good."
"1733318204-233","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or710-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 28 November 2015","16 contributions","Great place","This is very beautifull and very neat and clean kept place of Shimla. The only negative point is that you have to visit this place on foot as no vehicles are allowed to enter the place. This is most populated place with tourists"
"1733318204-234","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or710-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 28 November 2015","Calcutta, West Bengal, India","Heart of shimla","One can take a lift from lower mall to mall or can come by car. No hotel nearby. A good place but mostly for the premium customers."
"1733318204-235","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or710-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 27 November 2015","Ankleshwar, India","The Ridge","Located at the end of the Mall, this is THE Happenning Place in Shimla. An evening spent here is sure to delight one and all"
"1733318204-236","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or710-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 27 November 2015","Mumbai, India","''Most visited place in  Shimla''","The  ridge  shimla  is  the place one  cant  miss all the main  function  takes  palace  here It is  open ground with  seating  on  one  side, You  can look in  to hte valley from  here one  of  the  humngous view of the  valley you  get  from  here. During  winter  it is  laid  with the fine  covers  of  snow  with  toursits enjoying  the snow. The  summer  festival is helf  here,
The only problem is the crowd it  is bustling  with people all along . the  school  children, office staff and the  tourist.
If  you  get  some time for  your  self  enjoy  the  place."
"1733318204-237","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or710-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 26 November 2015","Hyderabad, India","A nice square which is bustling with activity in the evening","it is located at the far end of the mall road which is barely 800m and contains a church and a large open area which is barely available on the mall road. By evening its full with visitors, shool children and what not , you can go to lakkad bazaar and tibetean bazaar through this way"
"1733318204-238","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or710-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 25 November 2015","47 contributions","A must on Shimla visit.","From year 1999 - 2003 visited the city numerous times. The Ridge, in Shimla is one of the most happening places. At the perfect height to view beautiful mountains and scenery in and around Shimla. During winters and snowfall this place looks heaven Make your way to ""Lakkar Bazar"" to shop beautiful handicrafts and wooden crafts."
